"docid"	"earliestdate"	"actualdate"	"tags"	"author"	"title"	"gender"	"nationality"	"authsvols"	"lastname"
"uc2.ark+=13960=t4bp0174c"	1872	1872	"vulgar"	"Burnand, F. C"	"Happy-thought hall"	"m"	"uk"	24	"Burnand"
"nyp.33433034410518"	1872	1872	"elite"	"Edwards, Annie"	"Ought we to visit her?"	"f"	"uk"	29	"Edwards"
"dul1.ark+=13960=t3jw91q2r"	1872	1872	"elite"	"Butler, Samuel"	"Erewhon, or, Over the range"	"m"	"uk"	52	"Butler"
"uiuo.ark+=13960=t7jq1jx3g"	1872	1872	"elite"	"Palgrave, William Gifford"	"Hermann Agha: an eastern narrative"	"m"	"uk"	4	"Palgrave"
"nyp.33433082521166"	1872	1872	"elite"	"Diaz, Abby Morton"	"William Henry and his friends"	"f"	"us"	13	"Diaz"
"uiuo.ark+=13960=t7vm4tf4w"	1873	1873	"elite"	"Oliphant, Margaret"	"May"	"f"	"uk"	305	"Oliphant"
"njp.32101067644789"	1873	1873	"vulgar"	"Fogerty, J"	"Lauterdale"	"m"	"uk"	7	"Fogerty"
"uc2.ark+=13960=t3tt4g49s"	1873	1873	"vulgar"	"Optic, Oliver"	"In school and out;"	"m"	"us"	110	"Optic"
"nyp.33433074866538"	1873	1873	"elite"	"Kip, Leonard"	"The dead marquise;"	"m"	"us"	4	"Kip"
"uiuo.ark+=13960=t7gq76w1k"	1873	1873	"vulgar"	"Collins, Mortimer"	"Miranda"	"m"	"uk"	49	"Collins"
"uiuo.ark+=13960=t56d6ds4n"	1873	1873	"elite"	"Oliphant, Margaret"	"May"	"f"	"uk"	305	"Oliphant"
"uiuo.ark+=13960=t2k65210v"	1873	1873	"elite"	"Oliphant, Margaret"	"May"	"f"	"uk"	305	"Oliphant"
"nyp.33433076025463"	1873	1873	"vulgar"	"McKnight, Charles"	"Old Fort Duquesne"	"m"	"us"	3	"McKnight"
"uiuo.ark+=13960=t51g10g4w"	1873	1873	"presentaselite"	"Besant, Walter"	"My little girl"	"m"	"uk"	203	"Besant"
"uc2.ark+=13960=t1sf2mf2p"	1873	1898	"elite"	"Peterson, Henry"	"Pemberton, or, One hundred years ago"	"m"	"us"	5	"Peterson"
