docid	allcopiesofwork	author	bestseller	contrast4reviewed	copiesin25yrs	earlyedition	firstpub	gender	heath	imprint	inferreddate	lastname	latestcomp	mostdiscussed	nationality	norton	nortonshort	preregistered	recordid	reviewed	title	inferrednation
nyp.33433074852884	2.0	Harband, Beatrice M	False	True	2.0	True	1901.0	f	False	Melbourne;Religious Tract Society and Sunday School Union of Victoria;1901?	1901	Harband	1901	False		False	False	False	8666327.0	False	Under the shadow of Durgamma;	guess: non-us
uc2.ark+=13960=t0ks6ps96		Disraeli, Benjamin	False	False			1870.0	m	False	London;Longmans, Green, and co.;1870.	1870	Disraeli	1870	False	uk	False	False	False	473280.0	True	Lothair	uk
wu.89099776841	4.0	Craik, Dinah Maria Mulock	False	False	3.0	True	1878.0	f	False	New York;Harper & Brothers;1879, c 1878.	1878	Craik	1878	False	uk	False	False	False	8995982.0	True	Young Mrs. Jardine	uk
nyp.33433076025463	1.0	McKnight, Charles	False	True	1.0	True	1873.0	m	False	Pittsburgh;Peoples monthly publishing co.;1873.	1873	McKnight	1873	False	us	False	False	False	8690101.0	False	Old Fort Duquesne	us
uiuo.ark+=13960=t2794f36r	4.0	Allardyce, Alexander	False	False	4.0	True	1877.0	m	False	Edinburgh [Lothian;William Blackwood;1877.	1877	Allardyce	1877	False	uk	False	False	False	8664133.0	True	The city of sunshine	uk
pst.000021969058	1.0	Koontz, Dean R. (Dean Ray)	True	False	1.0	True			False	New York|G.P. Putnam's Sons|c1990.	1990	Koontz	1990	False		False	False	False	9815406.0	False	The bad place	us
uiuo.ark+=13960=t4dn4h40p		Drury, Anna H	False	True			1863.0		False		1862	Drury	1863	False		False	False	False		False	Deep waters	guess: non-us
uiuo.ark+=13960=t06x0132p	2.0	Tucker, Marwood	False	True	2.0	True	1872.0	m	False	London;R. Bentley & Son;1872.	1872	Tucker	1872	False	uk	False	False	False	8721586.0	False	Michael Tresidder	uk
uc2.ark+=13960=fk52f7k42g	2.0	Watson, William	False	True	2.0	True	1892.0	m	False	London;T. F. Unwin;1892.	1892	Watson	1892	False	us	False	False	False	6578854.0	False	The adventures of a blockade runner;	us
uc1.b3116796		Stern, G. B	False	False			1928.0	f	False	New York|A. A. Knopf|c1928.	1928	Stern	1928	False	uk	False	False	False	1194590.0	True	Debonair	uk
