docid	author	title	inferreddate	latestcomp	firstpub	allcopiesofwork	copiesin25yrs	gender	nationality	earlyedition	lastname	imprint	norton	heath	nortonshort	mostdiscussed	preregistered	reviewed	contrast4reviewed	bestseller
uiuo.ark+=13960=t0jt09500	Russell, William Clark	Marooned	1889	1889.0	1889.0	3.0	3.0	m	uk	True	Russell	London;New York;Macmillan;1889.	False	False	False	False	False	True	False	False
uc1.b3688438	Lorimer, George Horace,	Letters from a self-made merchant to his son	1902	1903.0	1903.0	3.0	3.0			True	Lorimer	Boston;Small, Maynard;1902.	False	False	False	False	False	False	False	True
nyp.33433075749295	Overstolz, Marie Emelie von	Tante Phil's fairy stories	1902	1902.0	1902.0	1.0	1.0			True	Overstolz	St. Louis;Great Western Printing Co.;1902.	False	False	False	False	False	False	True	False
nyp.33433074857016	Garnett, Olive	Petersburg tales	1900	1900.0	1900.0	1.0	1.0	f	uk	True	Garnett	Boston;and New York;Houghton, Mifflin and co.;1900.	False	False	False	False	False	False	True	False
mdp.39015063943107	Kester, Vaughan,	The just and the unjust	1912	1912.0	1912.0						Kester	New York;Grosset & Dunlap;1912	False	False	False	False	False	False	False	True
mdp.39015021862308	Morrison, Toni	Song of Solomon	1989	1977.0	1977.0	6.0	6.0	f	us	True	Morrison	New York : Knopf|1989, c1977.	False	False	False	False	True	False	False	False
uva.x001566125	Lytton, Edward Bulwer Lytton,	Pelham, or, The adventures of a gentleman	1829	1828.0	1828.0			m	uk		Lytton	New-York;J.& J. Harper;Sold by Collins and Hannay;1829.	False	False	False	False	False	False	False	True
uc1.b3329009	Thompson, Maurice	Alice of Old Vincennes	1901	1900.0	1900.0			m	us		Thompson	Indianapolis|Bobbs-Merrill|c1900.	False	False	False	False	False	False	True	True
uc1.$b87076	Caldwell, Taylor	This side of innocence	1946	1946.0		3.0	3.0			True	Caldwell	New York|Scribner|1946.	False	False	False	False	False	False	False	True
pst.000006180706	Stribling, T.S	Birthright	1922	1921.0	1921.0			m	us		Stribling		False	False	False	False	False	True	False	False
mdp.39015000615958	Asch, Sholem	Mary;	1949	1949.0		3.0	3.0			True	Asch	New York|G.P. Putnam's Sons|1949	False	False	False	False	False	False	False	True
mdp.39015001698649	Wouk, Herman	Don't stop the carnival	1965	1965.0		2.0	2.0			True	Wouk	Garden City, N.Y.|Doubleday & Company, Inc.|c1965.	False	False	False	False	False	False	False	True
mdp.39015055278512	Curran, Dale	Piano in the band | $c: [by] Dale Curran.	1940	1940.0	1940.0	2.0	2.0	m	us	True	Curran	New York|Reynal & Hitchcock|c1940	False	False	False	False	False	False	True	False
mdp.39015012067206	Hilton, James	Murder at school, | a detective fantasia, | $c: by James Hilton.	1935	1931.0	1931.0	1.0	1.0	m	uk	True	Hilton	London|Macmilland and co., limited|1935.	False	False	False	False	False	False	True	False
nyp.33433076050768	Payne, Will	The money captain	1898	1898.0	1898.0	4.0	2.0			True	Payne	Chicago;H. S. Stone;1898.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t2794116w	Foote, Mary Hallock	The desert and the sown	1902	1902.0	1902.0			f	us		Foote	Boston;New York;Houghton, Mifflin and Company;1902.	False	False	False	False	False	True	False	False
wu.89047436936	Nicholson, Meredith	The house of a thousand candles	1905	1905.0		4.0	4.0			True	Nicholson	Indianapolis;The Bobbs-Merrill company;1905	False	False	False	False	False	False	False	True
nyp.33433074940861	Twain, Mark	The adventures of Tom Sawyer	1875	1875.0	1875.0	34.0	9.0	m	us	True	Twain	Hartford, Conn.;American Pub. Co.;1881, c1875.	False	False	False	True	False	True	False	False
nyp.33433082170949	Aldrich, Thomas Bailey,	The story of a bad boy	1877	1870.0	1870.0	8.0	5.0	m	us	True	Aldrich	London [etc.;G. Routledge and Sons;1877	False	False	False	False	False	False	False	True
wu.89098856453	Dowie, Ménie Muriel	A girl in the Karpathians	1892	1892.0	1892.0			f	uk		Dowie	London;G. Philip;1892.	False	False	False	False	False	True	False	False
mdp.39015016911532	O'Brien, Kate	That Lady	1946	1946.0	1946.0			f	uk		O'Brien	London|Toronto|W. Heinemann ltd|1946	False	False	False	False	False	True	False	False
uc1.b4145140	Stowe, Harriet Beecher	Uncle Tom's cabin	1852	1851.0	1851.0	18.0	2.0	f	us	True	Stowe	London|J. Cassell|1852	True	True	False	False	False	True	False	True
nyp.33433000133862	Irving, Washington	Rip Van Winkle	1888	1859.0		6.0	4.0			False	Irving	Boston;S.E. Cassino;1888.	True	True	False	False	False	False	False	False
wu.89099774317	Clive, Caroline,	Paul Ferroll	1855	1855.0	1855.0	4.0	4.0			True	Clive	London;Saunders and Otley;1855.	False	False	False	False	False	False	False	True
mdp.39015012341775	Smith, William	Thorndale;	1857	1857.0	1857.0			m	uk		Smith		False	False	False	False	False	True	False	False
mdp.39015071596954	Detzer, Karl	The marked man : | a romance of the Great Lakes / | $c: by Karl W. Detzer ...	1927	1927.0	1927.0	1.0	1.0	m	us	True	Detzer	Indianapolis|Bobbs-Merrill|c1927.	False	False	False	False	False	False	True	False
loc.ark+=13960=t5gb2z75v	Grayson, David	The friendly road	1913	1913.0	1913.0	1.0	1.0	m	us	True	Grayson	Garden City, N.Y.;Doubleday, Page & company;1913.	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t85h8377h	Norris, W. E	A bachelor's blunder	1886	1886.0	1886.0	5.0	5.0	m	uk	True	Norris	London;Bentley;1886.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t1qf91c76	Colvill, Helen Hester	A dreamer	1880	1880.0	1880.0	3.0	3.0	f	uk	True	Colvill	Edinburgh;Blackwood;1880.	False	False	False	False	False	False	True	False
uc2.ark+=13960=t52f7sh9h	Buckley, William	Cambia Carty and other stories	1907	1907.0	1907.0	1.0	1.0	m	ir	True	Buckley	Dublin;Maunsel;1907.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t6h12wz10	Chipman, William P	A yankee lad's pluck	1900	1900.0	1900.0	1.0	1.0	m	us	True	Chipman	New York;A.L. Burt Co.;c1900.	False	False	False	False	False	False	True	False
uc1.b3688192	Grey, Zane,	The man of the forest	1920	1920.0	1920.0						Grey	Roslyn, N.Y.;W. J. Black;c1920.	False	False	False	False	False	False	False	True
mdp.39015030710142	Rinehart, Mary Roberts	The door	1930	1930.0		2.0	2.0			True	Rinehart	New York|Farrar & Rinehart incorporated|1930	False	False	False	False	False	False	False	True
njp.32101066458975	Gibbon, Charles	Clare of Claresmede	1886	1886.0	1886.0	3.0	3.0	m	uk	True	Gibbon	London;S. Low, Marston, Searle & Rivington;1886.	False	False	False	False	False	False	True	False
pst.000015374950	Tarkington, Booth	The plutocrat	1927	1927.0		1.0	1.0			True	Tarkington	New York|P.F. Collier & Son Co. by special arrangement with Doubleday, Doran|c1927.	False	False	False	False	False	False	False	True
uiug.30112042040268	Sinclair, May	Anne Severn and the Fieldings	1922	1922.0	1922.0			f	uk		Sinclair		False	False	False	False	False	True	False	False
mdp.39015063547809	Hobbes, John Oliver	The gods, some mortals and Lord Wickenham	1895	1895.0	1895.0	1.0	1.0	f	us	True	Hobbes	London;Henry;1895.	False	False	False	False	False	True	False	False
mdp.39015061863992	Holley, Marietta	Samantha at Saratoga	1887	1887.0	1887.0			f	us		Holley	Philadelphia;Hubbard Pub. Co.;1887.	False	False	False	False	False	False	True	False
mdp.39015047597573	Bach, Richard	Jonathan Livingston Seagull	1970	1970.0		1.0	1.0			True	Bach	New York|Macmillan|1970	False	False	False	False	False	False	False	True
mdp.39015024079090	MacInnes, Helen	The double image	1966	1966.0		1.0	1.0			True	MacInnes	New York|Harcourt, Brace & World|1966	False	False	False	False	False	False	False	True
uc2.ark+=13960=t2h70dt42	Gibbon, Charles	Beyond compare	1888	1888.0	1888.0	3.0	3.0	m	uk	True	Gibbon	London;Sampson Low, Marston, Searle & Rivington;1888.	False	False	False	False	False	False	True	False
uc2.ark+=13960=t2v40kg0s	Droz, Gustave	Around a spring	1873	1869.0	1869.0			m	french		Droz	New York;Holt;1873.	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t9g45d53j	Dickens, Charles	Great expectations	1861	1861.0	1861.0			m	uk		Dickens	London;Chapman and Hall ...;1861.	False	False	False	False	False	True	False	False
mdp.39015066054266	Forster, E.M	The Eternal Moment	1928	1928.0	1928.0			m	uk		Forster	New York|Harcourt, Brace & company|c1928	False	False	False	False	False	True	False	False
uc2.ark:/13960/fk0000004w	Churchill, Winston,	The crossing	1903	1904.0	1904.0						Churchill		False	False	False	False	False	False	False	True
uc2.ark+=13960=t01z41z3p	Wright, Harold Bell	Helen of the old house	1921	1921.0		2.0	2.0			True	Wright	New York [etc;D. Appleton and Company;1921.	False	False	False	False	False	False	False	True
uc1.$b405094	Maartens, Maarten,	My Lady Nobody;	1895	1895.0	1895.0	2.0	2.0	m		True	Maartens	New York;Harper & brothers;1895.	False	False	False	False	False	False	False	True
uc1.$b87364	Chilton, Eleanor Carroll	Follow the furies.	1935	1935.0	1935.0	1.0	1.0	f	us	True	Chilton	Indianapolis|New York|The Bobs-Merrill company|c1935	False	False	False	False	False	False	True	False
